SKU,Product_Name,Category,Product_Type,Platform,Version,Publisher,License_Type,Duration_Months,Device_Limit,MRP_INR,Selling_Price_INR,Description,Features,System_Requirements,Image_URL,Stock_Quantity,Activation_Steps,Status
WIN11-PRO-001,Windows 11 Pro,Operating Systems,OS,Windows,11,Microsoft,Lifetime,,1,8999,7499,Full version of Windows 11 Pro with advanced features,BitLocker|Remote Desktop|Hyper-V|Windows Sandbox,4GB RAM|64GB Storage|TPM 2.0|UEFI Firmware,https://example.com/win11-pro.jpg,150,Download Windows 11 installer|Run setup.exe|Follow installation wizard|Restart computer|Complete setup,active
WIN11-HOME-001,Windows 11 Home,Operating Systems,OS,Windows,11,Microsoft,Lifetime,,1,5999,4999,Windows 11 Home Edition for personal use,Cortana|Windows Hello|Quick Settings|Widgets,2GB RAM|32GB Storage|TPM 2.0,https://example.com/win11-home.jpg,120,Download Windows 11 installer|Run setup.exe|Follow installation wizard|Restart computer|Complete setup,active
WIN10-PRO-001,Windows 10 Pro,Operating Systems,OS,Windows,10,Microsoft,Lifetime,,1,5499,4499,Professional Windows 10 with business features,RDP|Hyper-V|Virtual Machines|BitLocker,2GB RAM|20GB Storage|SSE2 Processor,https://example.com/win10-pro.jpg,85,Download Windows 10 installer|Run setup.exe|Follow installation wizard|Restart computer|Complete setup,active
MAC-OS-VENTURA,macOS Ventura,Operating Systems,OS,Mac,13,Apple,Lifetime,,1,5999,4999,Latest macOS operating system with enhanced performance,Spotlight Search|Safari Improvements|Stage Manager|Metal,Mac with Apple Silicon or Intel processor|6GB RAM,https://example.com/macos-ventura.jpg,60,Boot Mac from installation USB|Select disk|Follow installation steps|Create user account|Complete setup,active
MAC-OS-SONOMA,macOS Sonoma,Operating Systems,OS,Mac,14,Apple,Lifetime,,1,7499,6499,Newest macOS Sonoma with AI features,AI Features|WebKit|Desktop Focus|Safari Profiles,Mac with Apple Silicon or Intel processor|8GB RAM,https://example.com/macos-sonoma.jpg,45,Boot Mac from installation USB|Select disk|Follow installation steps|Create user account|Complete setup,active
NOR-NORTON-360,Norton 360 Deluxe,Antivirus & Security,Antivirus,Windows|Mac,2025,Norton,Subscription,12,5,2999,2499,"Complete protection against viruses, malware, and online threats",Real-time Protection|Firewall|VPN|Parental Control|Cloud Backup,512MB RAM|500MB Storage|Internet Connection,https://example.com/norton-360.jpg,200,Download Norton software|Run installer|Enter product key|Create account|Complete installation|Restart,active
KASPER-TOTAL-SEC,Kaspersky Total Security,Antivirus & Security,Antivirus,Windows|Mac|Linux,2025,Kaspersky,Subscription,12,10,3499,2799,Multi-layer protection for all your devices,Real-time Threat Detection|Secure Browsing|Password Manager|WiFi Security,1GB RAM|1GB Storage|Windows 7 or later,https://example.com/kaspersky-ts.jpg,175,Download Kaspersky installer|Run setup|Enter product key|Select installation location|Restart computer,active
MCAFEE-TOTAL-SEC,McAfee Total Protection,Antivirus & Security,Antivirus,Windows|Mac|Mobile,2025,McAfee,Subscription,12,10,2699,1999,Advanced protection with identity theft monitoring,Identity Theft Monitoring|Secure VPN|Password Manager|Firewall,512MB RAM|500MB Storage|Windows 7 or later,https://example.com/mcafee-tp.jpg,160,Download McAfee installer|Run setup wizard|Enter activation code|Select protection options|Restart,active
AVAST-PREM-SEC,Avast Premium Security,Antivirus & Security,Antivirus,Windows|Mac|Mobile,2025,Avast,Subscription,12,5,1999,1399,Lightweight antivirus with real-time protection,Real-time Protection|Firewall|Software Updater|Privacy,500MB RAM|400MB Storage|Windows Vista or later,https://example.com/avast-prem.jpg,195,Download Avast installer|Run setup|Enter license key|Configure settings|Restart browser if needed,active
BITDEFENDER-INT,Bitdefender Internet Security,Antivirus & Security,Antivirus,Windows,2025,Bitdefender,Subscription,12,3,1999,1499,Advanced protection against malware and online threats,Ransomware Protection|Vulnerability Scanner|Web Protection,1GB RAM|500MB Storage|Windows Vista or later,https://example.com/bitdefender-is.jpg,140,Download Bitdefender installer|Run setup|Enter product key|Configure firewall|Restart system,active
AVG-INTER-SEC,AVG Internet Security,Antivirus & Security,Antivirus,Windows|Mac,2025,AVG,Subscription,12,3,1499,999,Budget-friendly antivirus with essential protection,Real-time Protection|Web Shield|Email Shield,512MB RAM|400MB Storage|Windows 7 or later,https://example.com/avg-is.jpg,210,Download AVG installer|Run setup wizard|Enter license key|Start protection|Restart if prompted,active
ESET-NOD32,ESET NOD32 Antivirus,Antivirus & Security,Antivirus,Windows|Mac|Linux,2025,ESET,Subscription,12,2,1699,1199,Lightweight and powerful antivirus protection,Advanced Threat Detection|Exploit Protection|Cloud Scanning,512MB RAM|300MB Storage|Windows XP or later,https://example.com/eset-nod32.jpg,125,Download ESET installer|Run setup|Enter activation key|Select installation options|Restart computer,active
